                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8828,                 1.9367,                 1.0448,                0.42696,                0.28237,                0.28243,                0.14838,                 1.6684,                 1.1756,                0.95208,               0.000276,               0.000276,               0.000276
                      2,                  1.597,                0.98209,                0.94197,                0.61083,                0.36286,                0.38535,                0.20034,                 1.6119,                 1.0336,                0.94358,             0.00054271,             0.00054271,             0.00054271
                      3,                 1.5432,                0.91571,                 0.9322,                0.64098,                0.40085,                0.42462,                0.21892,                 1.5253,                0.92579,                0.92517,             0.00079842,             0.00079842,             0.00079842
                      4,                 1.5063,                0.86279,                0.91846,                 0.5814,                0.42928,                0.44343,                0.23103,                 1.4884,                0.90183,                0.91811,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.4654,                0.82827,                0.90971,                0.64536,                0.44585,                0.46959,                0.25105,                 1.4533,                0.82439,                0.91433,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.4297,                0.79446,                  0.899,                0.64978,                0.45284,                0.48985,                0.25977,                   1.45,                0.82527,                0.90921,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.4051,                0.76304,                0.89469,                0.63776,                0.44585,                0.48277,                0.26527,                 1.4267,                0.82148,                0.90297,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.3516,                0.74204,                0.88605,                0.66527,                0.48816,                0.51339,                0.26703,                 1.4069,                 0.7764,                0.89799,             0.00071755,             0.00071755,             0.00071755
                      9,                  1.314,                0.70807,                0.87842,                 0.6655,                0.49639,                0.52941,                0.27874,                 1.3725,                0.76478,                0.89873,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.2882,                0.68706,                0.87604,                0.72445,                0.52666,                0.57546,                0.31261,                 1.3227,                0.71705,                0.88676,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.2499,                0.66692,                0.87187,                 0.7374,                 0.5429,                0.58765,                0.32758,                 1.3017,                0.69362,                0.88153,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.2595,                0.66392,                 0.8685,                0.75498,                0.54748,                0.60487,                0.33848,                 1.2551,                0.67065,                0.87914,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.2401,                0.64897,                0.86442,                 0.7634,                0.56118,                0.61895,                0.34255,                  1.267,                0.66962,                 0.8787,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.2217,                0.64437,                0.86223,                0.76353,                0.56062,                0.61828,                0.35003,                 1.2584,                0.65376,                0.88058,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.2014,                0.62528,                0.85772,                0.78029,                0.58852,                 0.6539,                 0.3678,                 1.2109,                0.62891,                0.86969,             0.00060209,             0.00060209,             0.00060209
