                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4566,                 3.6519,                 1.2051,                0.63463,                 0.1003,                0.09633,                0.04767,                 2.3813,                  2.063,                 1.1007,               0.000276,               0.000276,               0.000276
                      2,                 2.0079,                 1.9994,                 1.0372,                0.55976,                0.13728,                0.14531,                0.07121,                 2.1292,                 1.7481,                  1.028,             0.00049886,             0.00049886,             0.00049886
                      3,                  1.908,                  1.693,                 1.0037,                0.29716,                0.17859,                0.17409,                0.08651,                 2.0407,                 1.4431,                 1.0102,             0.00066673,             0.00066673,             0.00066673
                      4,                 1.8058,                 1.4739,                0.97557,                 0.3577,                 0.2014,                 0.1966,                0.09978,                 1.9113,                 1.3366,                0.98605,              0.0005856,              0.0005856,              0.0005856
                      5,                 1.7163,                 1.3403,                0.95979,                0.39936,                0.24264,                0.22083,                0.11357,                 1.9075,                   1.23,                0.98035,             0.00050313,             0.00050313,             0.00050313
                      6,                 1.6476,                 1.2346,                0.94705,                0.50081,                0.25976,                0.25521,                0.13269,                 1.8467,                 1.2078,                0.96108,             0.00042066,             0.00042066,             0.00042066
                      7,                 1.6015,                 1.1607,                0.92761,                 0.5667,                0.25077,                 0.2728,                0.14429,                 1.8067,                  1.213,                0.94923,              0.0003382,              0.0003382,              0.0003382
                      8,                 1.5591,                 1.1234,                0.91883,                0.58218,                0.27453,                0.28447,                0.14743,                 1.8159,                 1.1726,                0.95369,             0.00025573,             0.00025573,             0.00025573
                      9,                 1.5111,                 1.0454,                0.91172,                0.57558,                0.27793,                0.29318,                0.15692,                 1.8035,                 1.1183,                0.95063,             0.00017326,             0.00017326,             0.00017326
                     10,                 1.4721,                 1.0021,                0.90556,                0.56685,                0.30971,                0.31407,                0.16982,                 1.7537,                 1.0696,                0.94148,             9.0797e-05,             9.0797e-05,             9.0797e-05
