                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1624,                  3.148,                 1.1531,                0.53747,                 0.2003,                0.19806,                0.09511,                 1.8733,                 1.2947,                0.98295,               0.000276,               0.000276,               0.000276
                      2,                 1.7101,                 1.1095,                0.96556,                0.47312,                0.32446,                0.31172,                0.15292,                 1.7546,                 1.1371,                 0.9506,             0.00054271,             0.00054271,             0.00054271
                      3,                 1.6135,                0.97671,                0.94798,                 0.5381,                 0.3466,                0.36559,                0.18801,                 1.6443,                0.99539,                0.93636,             0.00079842,             0.00079842,             0.00079842
                      4,                 1.5716,                0.91254,                0.93132,                0.52977,                0.37274,                0.37822,                 0.2057,                 1.5659,                0.97946,                 0.9284,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.5235,                 0.8799,                0.92172,                0.57327,                0.39365,                0.41791,                0.20417,                 1.5276,                0.92253,                0.91581,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.4979,                  0.855,                0.91276,                0.63442,                0.43992,                0.45253,                0.23026,                 1.4908,                0.85533,                0.91296,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.4639,                0.81995,                0.90876,                0.63979,                0.43255,                0.45008,                0.24038,                 1.4726,                 0.8349,                0.91216,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.4089,                0.77585,                0.89548,                0.63185,                0.43193,                0.44731,                0.24021,                  1.479,                 0.8234,                0.90003,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.3777,                0.75304,                0.88986,                 0.6198,                0.42293,                0.44692,                0.23362,                 1.4969,                0.82041,                0.90805,             0.00070105,             0.00070105,             0.00070105
                     10,                  1.349,                0.73881,                0.88732,                0.66201,                0.46776,                0.50286,                0.26852,                 1.3874,                0.76001,                0.89022,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.3071,                0.71041,                0.88262,                0.66117,                0.49101,                0.52065,                0.27927,                 1.3521,                 0.7526,                0.88651,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.3262,                0.71716,                0.87951,                0.70406,                0.50111,                0.54142,                0.29118,                 1.3365,                0.72062,                0.88909,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.3152,                0.70944,                0.87794,                0.59408,                0.47991,                0.51104,                0.28215,                 1.3539,                0.76087,                0.88927,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.2948,                0.69347,                0.87507,                0.73277,                0.50782,                0.54716,                0.30118,                 1.3028,                0.70509,                0.88155,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.2775,                0.68096,                0.87012,                0.70709,                0.52227,                0.55857,                0.30068,                 1.3115,                0.71352,                0.88028,             0.00060209,             0.00060209,             0.00060209
                     16,                 1.2415,                0.65943,                0.86899,                0.71286,                0.53792,                 0.5858,                0.31135,                 1.2819,                0.68814,                0.87612,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.2322,                0.65534,                0.86108,                0.70128,                0.52707,                 0.5652,                0.29744,                 1.3018,                0.70127,                0.87794,             0.00056911,             0.00056911,             0.00056911
                     18,                 1.2178,                0.64794,                0.86279,                0.73795,                0.55231,                0.57906,                0.31535,                  1.257,                0.66787,                0.87091,             0.00055261,             0.00055261,             0.00055261
                     19,                 1.2037,                 0.6359,                0.86396,                0.72771,                0.54574,                 0.5983,                0.32237,                 1.2585,                0.66476,                0.87236,             0.00053612,             0.00053612,             0.00053612
                     20,                 1.2081,                0.63615,                0.86172,                0.72635,                0.58685,                0.61823,                0.33606,                 1.2262,                0.64995,                0.86668,             0.00051963,             0.00051963,             0.00051963
                     21,                 1.1886,                 0.6231,                0.85534,                0.72281,                0.56312,                 0.6086,                0.33176,                 1.2475,                0.65772,                0.86924,             0.00050313,             0.00050313,             0.00050313
                     22,                 1.1834,                0.61739,                 0.8598,                0.72238,                0.56451,                0.61563,                0.33381,                 1.2385,                 0.6497,                0.86732,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.1713,                0.61449,                0.85363,                0.75539,                 0.5634,                0.62292,                 0.3419,                 1.2088,                0.63055,                0.86387,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.1644,                0.60518,                 0.8522,                0.77202,                0.57323,                0.64342,                0.35715,                  1.189,                0.62288,                0.86368,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.1411,                0.59478,                 0.8508,                0.75907,                0.60106,                0.65827,                0.36299,                 1.1736,                0.61499,                0.85853,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.1456,                0.59327,                0.84913,                0.75508,                0.59458,                0.64627,                0.35989,                  1.182,                0.61684,                0.86066,             0.00042066,             0.00042066,             0.00042066
                     27,                 1.1287,                0.58665,                0.84946,                0.75991,                0.59548,                0.64662,                0.35633,                 1.1792,                0.61495,                0.86047,             0.00040417,             0.00040417,             0.00040417
                     28,                 1.1076,                0.57608,                0.84331,                0.76541,                0.60296,                0.65927,                0.36824,                 1.1581,                0.59081,                0.85715,             0.00038768,             0.00038768,             0.00038768
                     29,                 1.0973,                0.56661,                0.84265,                0.76523,                0.59286,                0.65203,                0.36492,                 1.1626,                0.59763,                0.85753,             0.00037118,             0.00037118,             0.00037118
