                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7036,                 3.6263,                 1.4593,                0.77045,                0.06886,                0.07738,                0.02703,                 2.6891,                  2.636,                 1.2028,               0.000276,               0.000276,               0.000276
                      2,                 2.2883,                 1.8203,                 1.2279,                0.33948,                0.11354,                0.11187,                 0.0455,                 2.4615,                 1.7719,                 1.1389,             0.00054271,             0.00054271,             0.00054271
                      3,                 2.1989,                 1.6821,                 1.1964,                0.18306,                0.14211,                0.10654,                0.04179,                 2.4861,                 1.6552,                 1.1632,             0.00079842,             0.00079842,             0.00079842
                      4,                  2.134,                 1.5355,                 1.1754,                0.22767,                0.19534,                0.14717,                0.05872,                 2.3423,                 1.6735,                 1.1143,             0.00078352,             0.00078352,             0.00078352
                      5,                  2.048,                 1.4424,                 1.1354,                0.64292,                0.12324,                0.13415,                0.05781,                 2.2399,                 1.6639,                 1.0676,             0.00076703,             0.00076703,             0.00076703
                      6,                 2.0142,                 1.3785,                 1.1254,                0.57643,                0.15542,                0.17205,                 0.0733,                 2.2179,                 1.4344,                 1.0587,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.9839,                 1.3284,                  1.108,                 0.3679,                0.21322,                0.17122,                0.06795,                  2.204,                 1.4188,                 1.0514,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.9178,                 1.2654,                 1.0889,                0.30343,                0.19905,                 0.1673,                0.07057,                  2.278,                 1.4989,                 1.0666,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.8874,                 1.2131,                 1.0771,                0.27794,                0.25304,                0.19573,                0.07805,                 2.1036,                 1.3956,                 1.0264,             0.00070105,             0.00070105,             0.00070105
                     10,                  1.851,                 1.1911,                 1.0688,                0.35318,                 0.2491,                0.21702,                0.09409,                  2.083,                 1.2972,                 1.0201,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.8161,                 1.1485,                 1.0558,                0.32976,                0.27136,                 0.2213,                 0.0931,                 2.0969,                 1.3007,                 1.0202,             0.00066807,             0.00066807,             0.00066807
                     12,                  1.804,                 1.1292,                 1.0491,                0.51875,                0.22838,                0.23828,                0.10102,                 2.0998,                 1.2616,                 1.0202,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.7856,                 1.1162,                 1.0461,                0.29163,                0.19186,                0.16781,                0.06666,                 2.2421,                 1.3694,                 1.0654,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.7674,                 1.1099,                 1.0337,                0.43644,                0.26722,                0.26071,                0.11528,                 2.2869,                 1.3189,                 1.0533,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.7597,                 1.0654,                 1.0324,                0.39647,                0.26876,                0.25601,                0.11905,                 1.9688,                 1.1932,                0.99344,             0.00060209,             0.00060209,             0.00060209
                     16,                 1.7273,                 1.0401,                 1.0267,                0.49003,                0.26846,                 0.2875,                0.13823,                 1.9689,                 1.1888,                 0.9928,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.6983,                 1.0222,                 1.0105,                0.43953,                0.30399,                0.28911,                0.13113,                 1.9388,                 1.1653,                0.98535,             0.00056911,             0.00056911,             0.00056911
                     18,                 1.6791,                  1.013,                 1.0092,                0.41189,                 0.3257,                0.29533,                0.13511,                 1.9113,                 1.1562,                0.97966,             0.00055261,             0.00055261,             0.00055261
                     19,                 1.6728,                 1.0005,                 1.0106,                0.47732,                 0.3065,                0.30979,                0.14513,                 1.9079,                 1.1224,                0.97185,             0.00053612,             0.00053612,             0.00053612
                     20,                 1.6458,                0.98213,                 1.0002,                0.46019,                0.29603,                0.29067,                0.13483,                 1.9304,                 1.1081,                0.97511,             0.00051963,             0.00051963,             0.00051963
                     21,                 1.6245,                0.96726,                0.99701,                0.50683,                0.31337,                0.31198,                0.14227,                 1.9331,                 1.0927,                0.98269,             0.00050313,             0.00050313,             0.00050313
                     22,                  1.641,                0.96641,                 0.9998,                0.49935,                0.33308,                0.33006,                0.15122,                 1.8822,                 1.0861,                0.96741,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.6183,                0.94905,                0.98716,                0.43426,                0.30033,                0.29566,                0.13662,                 1.8955,                 1.1156,                0.97625,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.5822,                0.91847,                0.98283,                0.47851,                0.31704,                0.31389,                0.14532,                 1.8761,                 1.0995,                0.97269,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.5873,                0.92495,                0.97929,                0.51378,                0.35351,                0.36562,                0.17034,                 1.8381,                 1.0248,                0.96643,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.5839,                0.91421,                0.97759,                0.48137,                0.33392,                0.32929,                 0.1497,                 1.8904,                 1.0616,                0.96487,             0.00042066,             0.00042066,             0.00042066
                     27,                 1.5566,                0.89952,                0.97562,                0.51388,                0.35076,                0.34775,                0.15516,                 1.8283,                 1.0379,                0.95202,             0.00040417,             0.00040417,             0.00040417
                     28,                 1.5448,                0.87741,                0.96854,                0.48845,                0.34967,                0.35066,                0.16046,                 1.7747,                 1.0088,                 0.9455,             0.00038768,             0.00038768,             0.00038768
                     29,                 1.5363,                0.87101,                0.96626,                0.49676,                0.34392,                0.34672,                0.16319,                 1.8117,                  1.025,                0.94978,             0.00037118,             0.00037118,             0.00037118
                     30,                  1.527,                0.86403,                0.96445,                0.49336,                0.33452,                 0.3329,                0.15341,                 1.8466,                 1.0423,                0.96564,             0.00035469,             0.00035469,             0.00035469
                     31,                 1.5107,                0.85587,                0.96121,                0.51312,                0.34984,                0.34218,                0.16338,                 1.7817,                 1.0119,                 0.9457,              0.0003382,              0.0003382,              0.0003382
                     32,                 1.4949,                0.84069,                0.95974,                 0.4673,                0.32615,                0.33134,                0.15692,                 1.8133,                 1.0449,                0.95661,              0.0003217,              0.0003217,              0.0003217
                     33,                  1.491,                0.83846,                0.94868,                0.50012,                 0.3428,                0.35155,                0.16489,                 1.7956,                0.99224,                0.94988,             0.00030521,             0.00030521,             0.00030521
                     34,                 1.4822,                0.83704,                 0.9551,                0.51403,                0.34043,                0.35108,                0.16183,                 1.8216,                 1.0043,                0.95698,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.4696,                0.82532,                0.95142,                0.51868,                0.32536,                0.34221,                0.16911,                 1.8345,                 1.0281,                0.96214,             0.00027222,             0.00027222,             0.00027222
