                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6961,                 3.4862,                 1.5204,                0.65994,                0.13173,                0.12607,                0.04727,                  2.497,                 1.8251,                 1.1178,               0.000276,               0.000276,               0.000276
                      2,                 2.2363,                 1.7289,                 1.2495,                0.32382,                0.20347,                0.16749,                 0.0659,                 2.3408,                 1.5154,                 1.0651,             0.00054271,             0.00054271,             0.00054271
                      3,                 2.1412,                 1.5868,                 1.2146,                0.43911,                0.21909,                0.20624,                0.08666,                 2.1817,                 1.5091,                 1.0386,             0.00079842,             0.00079842,             0.00079842
                      4,                 2.0622,                 1.4916,                  1.181,                0.37121,                0.25086,                0.24569,                0.10673,                 2.0609,                 1.3449,                 1.0168,             0.00078352,             0.00078352,             0.00078352
                      5,                  1.999,                 1.4014,                 1.1632,                0.39297,                 0.2649,                0.25126,                0.10466,                 2.1073,                 1.3181,                 1.0136,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.9788,                 1.3727,                 1.1527,                0.44902,                0.29054,                0.28155,                0.11759,                 2.1837,                 1.2608,                 1.0373,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.9295,                 1.3011,                 1.1317,                0.46493,                0.28846,                0.28552,                0.12059,                 2.0705,                 1.2868,                 1.0079,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.8721,                 1.2593,                 1.1095,                0.44079,                0.30849,                0.29938,                0.13281,                 2.0244,                 1.1703,                0.98989,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.8871,                 1.2463,                 1.1163,                0.46457,                0.33074,                 0.3285,                0.14521,                 1.9458,                 1.1245,                0.98151,             0.00070105,             0.00070105,             0.00070105
                     10,                  1.821,                 1.2025,                 1.0922,                0.52391,                0.34851,                0.34887,                0.16096,                 1.9463,                 1.0984,                0.96825,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.7749,                 1.1616,                 1.0798,                0.53312,                0.35165,                0.36293,                  0.155,                 2.0624,                 1.0971,                0.99578,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.7732,                 1.1493,                 1.0774,                0.56776,                0.34973,                0.36325,                0.15934,                 1.9999,                 1.1239,                0.97292,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.7443,                 1.1274,                 1.0729,                0.48652,                 0.3716,                0.36148,                0.16445,                  1.908,                 1.1687,                0.95965,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.7872,                 1.1457,                 1.0777,                0.44782,                0.36092,                0.35491,                0.15338,                  1.932,                 1.1206,                0.97169,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.7188,                 1.0904,                  1.054,                0.58547,                 0.3719,                0.40205,                0.17275,                 1.9619,                 1.1282,                 0.9708,             0.00060209,             0.00060209,             0.00060209
                     16,                 1.6893,                 1.0706,                 1.0544,                0.53784,                0.37876,                0.40262,                0.18166,                 1.8451,                 1.0505,                0.95053,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.6762,                  1.054,                 1.0435,                0.55876,                0.38009,                0.40405,                0.18043,                 1.8441,                 1.0075,                0.94684,             0.00056911,             0.00056911,             0.00056911
                     18,                 1.6335,                 1.0272,                 1.0316,                0.59837,                0.41499,                0.44453,                0.19699,                 1.8097,                0.98812,                0.94764,             0.00055261,             0.00055261,             0.00055261
                     19,                 1.6361,                 1.0309,                 1.0331,                0.56582,                0.41804,                0.43085,                0.19978,                 1.7683,                0.98177,                0.93627,             0.00053612,             0.00053612,             0.00053612
                     20,                  1.615,                 1.0127,                  1.024,                0.61877,                0.42303,                0.44432,                0.19526,                 1.7746,                0.95554,                0.93432,             0.00051963,             0.00051963,             0.00051963
                     21,                 1.5976,                0.99098,                  1.022,                0.60226,                0.44078,                0.45817,                0.19186,                 1.8278,                0.93906,                0.94334,             0.00050313,             0.00050313,             0.00050313
                     22,                 1.6054,                 0.9985,                 1.0215,                0.60151,                 0.4431,                0.46512,                0.20953,                 1.7391,                0.91256,                0.92648,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.5772,                0.96664,                 1.0171,                0.59433,                0.42621,                0.43867,                0.20843,                 1.7583,                0.94118,                0.93705,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.5615,                0.95678,                 1.0145,                0.62074,                0.43643,                0.46283,                0.21089,                 1.7792,                0.91278,                0.93142,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.5538,                0.93903,                 1.0074,                0.59377,                 0.4582,                0.47265,                0.21311,                 1.7767,                0.91263,                0.92349,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.5552,                0.94091,                 1.0061,                0.64439,                0.44052,                0.46824,                0.21782,                 1.7377,                0.89669,                0.93013,             0.00042066,             0.00042066,             0.00042066
                     27,                 1.5401,                0.93013,                 1.0057,                0.58203,                0.46157,                0.47812,                0.22419,                 1.6688,                0.87977,                0.91383,             0.00040417,             0.00040417,             0.00040417
                     28,                 1.5175,                0.91579,                0.99178,                0.66616,                0.44695,                0.48824,                0.22485,                 1.6551,                0.89939,                0.91498,             0.00038768,             0.00038768,             0.00038768
                     29,                 1.5108,                0.89744,                0.99234,                0.59832,                0.47189,                0.48121,                0.21416,                 1.7185,                 0.8618,                0.91692,             0.00037118,             0.00037118,             0.00037118
                     30,                 1.4908,                0.88733,                0.98298,                0.57498,                0.47168,                0.47794,                0.22479,                 1.6736,                0.85833,                0.91549,             0.00035469,             0.00035469,             0.00035469
                     31,                 1.4847,                0.87977,                0.98652,                0.65068,                0.47357,                0.50446,                0.23231,                 1.7364,                0.86672,                0.92225,              0.0003382,              0.0003382,              0.0003382
                     32,                 1.4718,                0.88286,                0.98526,                0.61015,                0.48043,                0.49519,                0.23583,                 1.6385,                 0.8482,                0.90405,              0.0003217,              0.0003217,              0.0003217
                     33,                 1.4628,                0.86161,                 0.9761,                 0.5859,                0.47194,                 0.4916,                0.23442,                 1.6471,                0.84533,                0.90442,             0.00030521,             0.00030521,             0.00030521
                     34,                 1.4596,                0.86936,                0.98043,                0.65123,                0.47746,                0.50761,                0.24583,                  1.648,                0.84087,                 0.9015,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.4543,                0.85629,                0.97618,                0.62367,                0.49897,                 0.5066,                0.23528,                 1.6144,                0.82415,                0.90251,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.4324,                0.83751,                0.96761,                0.69284,                0.47094,                0.51386,                0.22571,                 1.7458,                0.85849,                0.91659,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.4178,                0.83311,                0.96589,                 0.6547,                0.47171,                 0.5099,                 0.2459,                 1.6293,                0.83091,                0.90437,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.4321,                0.83431,                0.96782,                0.65819,                0.48609,                0.52124,                0.25574,                 1.5832,                0.80832,                0.89499,             0.00022274,             0.00022274,             0.00022274
                     39,                 1.3883,                0.80753,                0.95898,                0.66681,                0.49237,                 0.5342,                0.26214,                 1.5598,                0.79283,                0.89442,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.4006,                 0.8232,                0.96406,                0.62164,                0.49821,                0.52757,                0.25769,                 1.5814,                0.80845,                 0.8943,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.3532,                0.81727,                0.95192,                0.64273,                0.49537,                0.52968,                0.25011,                  1.626,                0.83698,                0.90342,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.3352,                0.78999,                0.94795,                0.66567,                0.48346,                 0.5284,                0.24595,                 1.6537,                 0.8087,                0.90466,             0.00015677,             0.00015677,             0.00015677
                     43,                 1.3206,                0.77028,                0.94675,                0.65802,                0.49727,                0.53727,                 0.2597,                 1.5864,                0.79179,                0.89329,             0.00014028,             0.00014028,             0.00014028
                     44,                 1.3103,                0.77399,                0.94253,                0.67193,                0.47762,                0.53035,                0.25326,                 1.6086,                0.80683,                0.89883,             0.00012378,             0.00012378,             0.00012378
                     45,                 1.2967,                0.76195,                0.93723,                0.66352,                0.49535,                0.54157,                0.26538,                 1.5458,                0.78088,                0.89094,             0.00010729,             0.00010729,             0.00010729
                     46,                 1.2858,                0.75483,                0.93914,                0.66994,                0.49391,                0.54788,                0.26643,                 1.5751,                0.78278,                0.89317,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                 1.2962,                0.75722,                0.93829,                0.69285,                0.49624,                0.54689,                0.26183,                 1.6105,                0.79078,                0.89961,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 1.2714,                0.74379,                0.93152,                0.68431,                0.48973,                0.53736,                0.26524,                 1.5669,                0.77607,                0.89398,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 1.2544,                0.73081,                 0.9261,                0.69451,                0.48763,                 0.5467,                 0.2706,                 1.5373,                0.76265,                 0.8889,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                 1.2524,                0.72938,                0.92903,                0.69467,                 0.4883,                0.54183,                0.27031,                  1.527,                0.76208,                0.88849,             2.4823e-05,             2.4823e-05,             2.4823e-05
